Source name,reason
Tremella aurantialba,not in Fungal Names (Current) AND not in NCBI
Cryptococcus adeliensis,not in Fungal Names (Current) AND not in NCBI
Cryptococcus antarcticus,not in Fungal Names (Current) AND not in NCBI
Cryptococcus vishniacii,not in Fungal Names (Current) AND not in NCBI
Torulopsis glabrata,not in Fungal Names (Current) AND not in NCBI
Neoantrodia serialis,not found in NCBI names.dmp
"Neocosmospora metavorans,",not in Fungal Names (Current) AND not in NCBI
Botryosphaeria parva ,not in Fungal Names (Current) AND not in NCBI
Lentinus lepideus,not in Fungal Names (Current) AND not in NCBI
Nectria ditissima,not in Fungal Names (Current) AND not in NCBI
Aspergillus clavatus,not a Current Name in Fungal Names file
Biatriospora mackinnonii,not in Fungal Names (Current) AND not in NCBI
Poria rivulosa,not in Fungal Names (Current) AND not in NCBI
Pseudocercosporella herpotrichoides,not in Fungal Names (Current) AND not in NCBI
Hansenula polymorpha,not in Fungal Names (Current) AND not in NCBI
Oidiodendron maius,not a Current Name in Fungal Names file
Byssochlamys fulva,not in Fungal Names (Current) AND not in NCBI
Byssochlamys nivea,not in Fungal Names (Current) AND not in NCBI
Penicillium patulum,not in Fungal Names (Current) AND not in NCBI
Peronospora farinosa,not a Current Name in Fungal Names file
Peronospora tabacina,not a Current Name in Fungal Names file
Phanerochaete chrysosporium,not in Fungal Names (Current) AND not in NCBI
Phytophthora cambivora,not found in NCBI names.dmp
Pleospora lycopersici,not found in NCBI names.dmp
Phellinus pini,not in Fungal Names (Current) AND not in NCBI
Mycosphaerella musicola,not in Fungal Names (Current) AND not in NCBI
Geomyces pannorum,not in Fungal Names (Current) AND not in NCBI
Puccinia triticina,not a Current Name in Fungal Names file
Rectifusarium ventricosum,not found in NCBI names.dmp
Rhizoctonia oryzae-sativae,not in Fungal Names (Current) AND not in NCBI
Rhizopus oryzae,not in Fungal Names (Current) AND not in NCBI
Oligoporus placenta,not in Fungal Names (Current) AND not in NCBI
Rhodosporidium toruloides ,not in Fungal Names (Current) AND not in NCBI
Rozella allomycis,not a Current Name in Fungal Names file
Saccharomyces bayanus,not found in NCBI names.dmp
Cryptococcus podzolicus,not in Fungal Names (Current) AND not in NCBI
Sarcodon aspratus,not a Current Name in Fungal Names file
Candida shehatae,not in Fungal Names (Current) AND not in NCBI
Pichia stipitis,not in Fungal Names (Current) AND not in NCBI
Schizosaccharomyces cryophilus,not a Current Name in Fungal Names file
Acremonium alcalophilum,not in Fungal Names (Current) AND not in NCBI
Sporothrix variecibatus,not a Current Name in Fungal Names file
Candida stellata,not in Fungal Names (Current) AND not in NCBI
Stigmina carpophila,not in Fungal Names (Current) AND not in NCBI
Candida bokatorum,not in Fungal Names (Current) AND not in NCBI
Candida bribrorum,not in Fungal Names (Current) AND not in NCBI
Candida chickasaworum,not in Fungal Names (Current) AND not in NCBI
Candida choctaworum,not in Fungal Names (Current) AND not in NCBI
Candida emberorum,not in Fungal Names (Current) AND not in NCBI
Candida guaymorum,not in Fungal Names (Current) AND not in NCBI
Candida kunorum,not in Fungal Names (Current) AND not in NCBI
Candida panamericana,not in Fungal Names (Current) AND not in NCBI
Candida terraborum,not in Fungal Names (Current) AND not in NCBI
Candida wounanorum,not in Fungal Names (Current) AND not in NCBI
Candida yuchorum,not in Fungal Names (Current) AND not in NCBI
Penicillium funiculosum,not in Fungal Names (Current) AND not in NCBI
Penicillium islandicum,not in Fungal Names (Current) AND not in NCBI
Penicillium pinophilum,not in Fungal Names (Current) AND not in NCBI
Candida atbi,not in Fungal Names (Current) AND not in NCBI
Candida lycoperdinae,not in Fungal Names (Current) AND not in NCBI
Candida pallodes,not in Fungal Names (Current) AND not in NCBI
Candida panamensis,not in Fungal Names (Current) AND not in NCBI
Candida tritomae,not in Fungal Names (Current) AND not in NCBI
Thielavia australiensis,not in Fungal Names (Current) AND not in NCBI
Chaetomium thermophilum,not in Fungal Names (Current) AND not in NCBI
Thermomyces stellatus,not found in NCBI names.dmp
Myceliophthora hinnulea,not in Fungal Names (Current) AND not in NCBI
Myriococcum thermophilum,not in Fungal Names (Current) AND not in NCBI
Thielavia terrestris,not in Fungal Names (Current) AND not in NCBI
Coriolus hirsutus,not in Fungal Names (Current) AND not in NCBI
Trametes trogii,not found in NCBI names.dmp
Trametes cervina,not in Fungal Names (Current) AND not in NCBI
Podospora anserina,not a Current Name in Fungal Names file
Uromyces fabae,not in Fungal Names (Current) AND not in NCBI
Tilletia tritici,not in Fungal Names (Current) AND not in NCBI
Perenniporia fraxinea,not a Current Name in Fungal Names file
Verticillium albo-atrum,not a Current Name in Fungal Names file
Wickerhamomyces anomalus,not found in NCBI names.dmp
Yamadazyma paraphyllophila,not a Current Name in Fungal Names file
Candida tenuis,not in Fungal Names (Current) AND not in NCBI
Saccharomyces mellis,not in Fungal Names (Current) AND not in NCBI
